| ddi-0053 | D07AB02 | J05AH01 | Betamethasone | Zidovudine | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10725 | J04AK04 | N03AD02 | Pyrazinamide | Clonazepam | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10726 | C10AA01 | J04AK04 | Atorvastatin | Pyrazinamide | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10727 | J01DH02 | J04AK04 | Ceftriaxone | Pyrazinamide | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10728 | J01XB02 | R06AE09 | Trimethoprim | Cetirizine | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10729 | J05AH01 | R06AE09 | Zidovudine | Cetirizine | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10730 | J01MA02 | R06AE09 | Ciprofloxacin | Cetirizine | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10731 | J01GB03 | R06AE09 | Tobramycin | Cetirizine | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10732 | J01XC08 | R06AE09 | Nitrofurantoin | Cetirizine | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10733 | J05AF03 | R06AE09 | Lamivudine | Cetirizine | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10734 | J04AB01 | R06AE09 | Isoniazid | Cetirizine | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10735 | J04AB02 | R06AE09 | Rifampicin | Cetirizine | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10736 | J05AB01 | R06AE09 | Valganciclovir | Cetirizine | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10737 | C08DA01 | J04AK02 | Diltiazem | Ethambutol | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10738 | C08DA01 | J01XB02 | Diltiazem | Trimethoprim | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10739 | C08DA01 | J01GB03 | Diltiazem | Tobramycin | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10740 | C08DA01 | J01XC08 | Diltiazem | Nitrofurantoin | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10741 | C08DA01 | J05AF03 | Diltiazem | Lamivudine | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10742 | C08DA01 | J04AB01 | Diltiazem | Isoniazid | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10743 | C08DA01 | J05AB01 | Diltiazem | Ganciclovir | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10744 | C08DA01 | J01MA02 | Diltiazem | Ofloxacin | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10745 | J01GB03 | N06AX11 | Tobramycin | Mirtazapine | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10746 | J01XC08 | N06AX11 | Nitrofurantoin | Mirtazapine | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10747 | J05AB01 | N06AX11 | Valganciclovir | Mirtazapine | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10748 | C08CA01 | J01FA09 | Amlodipine | Azithromycin | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10749 | C08CA01 | J04AK02 | Amlodipine | Ethambutol | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10750 | C08CA01 | J01AB01 | Amlodipine | Ampicillin | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10751 | C08CA01 | J01BE01 | Amlodipine | Ceftazidime | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10752 | C08CA01 | J01XB02 | Amlodipine | Trimethoprim | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10753 | C08CA01 | J05AH01 | Amlodipine | Zidovudine | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10754 | C08CA01 | J01DB01 | Amlodipine | Cephalexin | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10755 | C08CA01 | J01GB03 | Amlodipine | Tobramycin | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10756 | C08CA01 | J01XC08 | Amlodipine | Nitrofurantoin | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10757 | C08CA01 | J05AF03 | Amlodipine | Lamivudine | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10758 | C08CA01 | J04AB01 | Amlodipine | Isoniazid | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10759 | C08CA01 | J05AB01 | Amlodipine | Ganciclovir | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10760 | C08CA01 | J01DD01 | Amlodipine | Cefuroxime | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10761 | C08CA01 | J01DH02 | Amlodipine | Ceftriaxone | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10762 | C01AA05 | J04AK02 | Digoxin | Ethambutol | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10763 | C01AA05 | J05AH01 | Digoxin | Zidovudine | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10764 | C01AA05 | J01GB03 | Digoxin | Tobramycin | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10765 | C01AA05 | J01XC08 | Digoxin | Nitrofurantoin | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10766 | C01AA05 | J05AF03 | Digoxin | Lamivudine | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10767 | C01AA05 | J04AB01 | Digoxin | Isoniazid | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10768 | C01AA05 | J01MA02 | Digoxin | Ofloxacin | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10769 | C01AA05 | J05AB01 | Digoxin | Valganciclovir | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10770 | J05AE02 | M03BA02 | Ritonavir | Carisoprodol | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10771 | J01MA02 | M03BA02 | Ciprofloxacin | Carisoprodol | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10772 | J01DB01 | M03BA02 | Cephalexin | Carisoprodol | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10773 | J01XC08 | M03BA02 | Nitrofurantoin | Carisoprodol | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10774 | J05AF03 | M03BA02 | Lamivudine | Carisoprodol | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10775 | J04AB02 | M03BA02 | Rifampicin | Carisoprodol | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10776 | J01DD01 | M03BA02 | Cefuroxime | Carisoprodol | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10777 | J01DH02 | M03BA02 | Ceftriaxone | Carisoprodol | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10778 | J01FA09 | N05AB05 | Azithromycin | Alprazolam | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10779 | J01AB01 | N05AB05 | Ampicillin | Alprazolam | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10780 | J01CF02 | N05AB05 | Dicloxacillin | Alprazolam | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10781 | J01DB04 | N05AB05 | Cefotaxime | Alprazolam | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10782 | J05AD04 | N05AB05 | Foscarnet | Alprazolam | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10783 | J01MA02 | N05AB05 | Ciprofloxacin | Alprazolam | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10784 | J01DB01 | N05AB05 | Cephalexin | Alprazolam | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10785 | J01GB03 | N05AB05 | Tobramycin | Alprazolam | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10786 | J01XC08 | N05AB05 | Nitrofurantoin | Alprazolam | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10787 | J05AF03 | N05AB05 | Lamivudine | Alprazolam | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10788 | J01DD01 | N05AB05 | Cefuroxime | Alprazolam | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10789 | J01DH02 | N05AB05 | Ceftriaxone | Alprazolam | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10790 | J01AB01 | N05AB03 | Ampicillin | Lorazepam | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10791 | J01AB01 | M01AB06 | Ampicillin | Indomethacin | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10792 | C01AA05 | J01AB01 | Digoxin | Ampicillin | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10793 | J01AB01 | N05AD02 | Ampicillin | Zolpidem | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10794 | J01AB01 | J01BE01 | Ampicillin | Ceftazidime | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10795 | J01AB01 | J01DB04 | Ampicillin | Cefotaxime | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10796 | J01AB01 | J05AH01 | Ampicillin | Zidovudine | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10797 | J01AB01 | J01MA02 | Ampicillin | Ciprofloxacin | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10798 | J01AB01 | N06AB09 | Ampicillin | Paroxetine | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10799 | J01AB01 | N05BA01 | Ampicillin | Diazepam | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10800 | C10AA01 | J01AB01 | Atorvastatin | Ampicillin | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10801 | J01AB01 | J01DH02 | Ampicillin | Ceftriaxone | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10802 | J05AB01 | N05AD02 | Valganciclovir | Zolpidem | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10803 | A08AA02 | J04AB02 | Allopurinol | Rifampicin | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10804 | C09AB02 | J01BE01 | Ramipril | Ceftazidime | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10805 | J01BE01 | N05AB03 | Ceftazidime | Lorazepam | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10806 | J01BE01 | N06AB04 | Ceftazidime | Citalopram | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10807 | C07AB05 | J01BE01 | Metoprolol | Ceftazidime | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10808 | J01BE01 | N02AA04 | Ceftazidime | Hydromorphone | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10809 | J01BE01 | M01AB06 | Ceftazidime | Indomethacin | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10810 | J01BE01 | N05AE06 | Ceftazidime | Olanzapine | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-10811 | J01BE01 | R06AE09 | Ceftazidime | Cetirizine | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
